Lourmel,Boucicaut,0.4911168567098463
Boucicaut,Félix Faure,0.3729434912096482
Félix Faure,Commerce,0.230014848553261
Commerce,La Motte-Picquet-Grenelle,0.545957666237572
La Motte-Picquet-Grenelle,Ecole Militaire,0.8302905072157619
Ecole Militaire,La Tour-Maubourg,0.4587098087165166
La Tour-Maubourg,Invalides,0.5571978780952249
Invalides,Concorde,0.644885337857944
Concorde,Madeleine,0.5454482694696153
Madeleine,Opéra,0.5310317391931922
Opéra,Richelieu-Drouot,0.6170760075340718
Richelieu-Drouot,Grands Boulevards,0.22341942897421035
Grands Boulevards,Bonne Nouvelle,0.4242734416110441
Bonne Nouvelle,Strasbourg-Saint-Denis,0.42959709304232246
Strasbourg-Saint-Denis,République,0.702688720501392
République,Filles du Calvaire,0.568598877715379
Filles du Calvaire,Saint-Sébastien-Froissart,0.23688291383005472
Saint-Sébastien-Froissart,Chemin Vert,0.3809957324911373
Chemin Vert,Bastille,0.43562696533110506
Bastille,Ledru-Rollin,0.5702768619263902
Ledru-Rollin,Faidherbe-Chaligny,0.6341815821398342
Faidherbe-Chaligny,Reuilly-Diderot,0.37638999153701286
Reuilly-Diderot,Montgallet,0.38504778482736945
Montgallet,Daumesnil (Félix Eboué),0.6604191811210763
Daumesnil (Félix Eboué),Michel Bizot,0.6145917407606599
Michel Bizot,Porte Dorée,0.2910448011627808
Porte Dorée,Porte de Charenton,0.5242696717128911
Porte de Charenton,Liberté,0.9318821005188622
Liberté,Charenton-Ecoles,0.6597827624124316
Charenton-Ecoles,Ecole Vétérinaire de Maisons-Alfort,0.9124437929947217
Ecole Vétérinaire de Maisons-Alfort,Maisons-Alfort-Stade,1.3153106008995192
Maisons-Alfort-Stade,Maisons-Alfort-Les Juilliottes,0.9652140660052166
Maisons-Alfort-Les Juilliottes,Créteil-L'Echat (Hôpital Henri Mondor),0.7002563009704539
Créteil-L'Echat (Hôpital Henri Mondor),Créteil-Université,0.7705966958364855
Créteil-Université,Créteil-Préfecture (Hôtel de Ville),1.2704243140099347
Créteil-Préfecture (Hôtel de Ville),Pointe du Lac,1.275679032054308
Pont de Sèvres,Billancourt,0.6189788511437744
Billancourt,Marcel Sembat,0.4338442402921523
Marcel Sembat,Porte de Saint-Cloud,0.979843000417896
Porte de Saint-Cloud,Exelmans,0.6810150514457276
Exelmans,Michel-Ange-Molitor,0.27170292869113494
Michel-Ange-Molitor,Michel-Ange-Auteuil,0.36146094530439404
Michel-Ange-Auteuil,Jasmin,0.5701868512496608
Jasmin,Ranelagh,0.3717027635318152
Ranelagh,La Muette,0.4178304904394246
La Muette,Rue de la Pompe (Avenue Georges Mandel),0.7395729771992177
Rue de la Pompe (Avenue Georges Mandel),Trocadéro,0.6654432952851708
Trocadéro,Iéna,0.5453450969472066
Iéna,Alma-Marceau,0.5271278574016885
Alma-Marceau,Franklin-Roosevelt,0.8090128975860853
Franklin-Roosevelt,Saint-Philippe du Roule,0.4113790541115433
Saint-Philippe du Roule,Miromesnil,0.3709657680755249
Miromesnil,Saint-Augustin,0.3884154616708233
Saint-Augustin,Havre-Caumartin,0.6122252021934672
Havre-Caumartin,Chaussée d'Antin (La Fayette),0.30449984447636347
Chaussée d'Antin (La Fayette),Richelieu-Drouot,0.4671237119613935
Richelieu-Drouot,Grands Boulevards,0.2913055076944124
Grands Boulevards,Bonne Nouvelle,0.4286438488581323
Bonne Nouvelle,Strasbourg-Saint-Denis,0.4377932760701409
Strasbourg-Saint-Denis,République,0.6926676621107359
République,Oberkampf,0.401139515675104
Oberkampf,Saint-Ambroise,0.5473164730502237
Saint-Ambroise,Voltaire (Léon Blum),0.6709500084371598
Voltaire (Léon Blum),Charonne,0.496449883282728
Charonne,Rue des Boulets,0.4020147757193773
Rue des Boulets,Nation,0.7202987525872798
Nation,Buzenval,0.4002566904249375
Buzenval,Maraîchers,0.3918079344202466
Maraîchers,Porte de Montreuil,0.3103507291941547
Porte de Montreuil,Robespierre,0.9990865490523961
Robespierre,Croix-de-Chavaux (Jacques Duclos),0.9295343166422206
Croix-de-Chavaux (Jacques Duclos),Mairie de Montreuil,0.6456054943764414
Boulogne Pont de Saint-Cloud,Boulogne-Jean-Jaurès,0.7922194364808726
Boulogne-Jean-Jaurès,Michel-Ange-Molitor,1.74262526673188
Michel-Ange-Molitor,Chardon-Lagache,0.3380327492935414
Chardon-Lagache,Mirabeau,0.5002777086598105
Mirabeau,Javel-André-Citroen,0.36856347251279264
Javel-André-Citroen,Charles Michels,0.5736267063485262
Charles Michels,Avenue Emile-Zola,0.7204347996713885
Avenue Emile-Zola,La Motte-Picquet-Grenelle,0.28549757110500484
La Motte-Picquet-Grenelle,Ségur,0.7155132198294052
Ségur,Duroc,0.7074529569040893
Duroc,Vaneau,0.37618886586926575
Vaneau,Sèvres-Babylone,0.434926134072684
Sèvres-Babylone,Mabillon,0.6937555003446689
Mabillon,Odéon,0.2783347974406704
Odéon,Cluny-La Sorbonne,0.48193170876510316
